Product,Price,Category,Description
Floral Midi Dress - Blue,$89,Dress,Flowing blue midi dress with a small floral print and soft waist shaping.
Floral Midi Dress - Rose,$89,Dress,Flowing rose midi dress with a small floral print and soft waist shaping.
Satin Slip Dress,$95,Dress,Elegant satin slip dress with adjustable straps and a softly draped neckline.
Satin Slip Dress - Black,$95,Dress,Elegant black satin slip dress with adjustable straps and a softly draped neckline.
Satin Slip Dress - Champagne,$95,Dress,Elegant champagne satin slip dress with adjustable straps and a softly draped neckline.
Cotton Shirt Dress,$78,Dress,Button-front cotton shirt dress with a removable waist belt and relaxed fit.
Cotton Shirt Dress - White,$78,Dress,White button-front cotton shirt dress with a removable waist belt and relaxed fit.
Cotton Shirt Dress - Sage,$78,Dress,Sage button-front cotton shirt dress with a removable waist belt and relaxed fit.
Ribbed Knit Midi Dress,$84,Dress,Stretch ribbed knit midi dress with a body-skimming silhouette and long sleeves.
Ribbed Knit Midi Dress - Espresso,$84,Dress,Espresso ribbed knit midi dress with a body-skimming silhouette and long sleeves.
Ribbed Knit Midi Dress - Charcoal,$84,Dress,Charcoal ribbed knit midi dress with a body-skimming silhouette and long sleeves.
Wrap Front Mini Dress,$71,Dress,Feminine wrap-front mini dress with short sleeves and an adjustable waist.
Wrap Front Mini Dress - Red,$71,Dress,Red wrap-front mini dress with short sleeves and an adjustable waist.
Wrap Front Mini Dress - Navy,$71,Dress,Navy wrap-front mini dress with short sleeves and an adjustable waist.
Relaxed Utility Jacket,$99,Jacket,Lightweight utility jacket with roomy pockets and a relaxed everyday fit.
Relaxed Utility Jacket - Olive,$99,Jacket,Lightweight olive utility jacket with roomy pockets and a relaxed everyday fit.
Relaxed Utility Jacket - Stone,$99,Jacket,Lightweight stone utility jacket with roomy pockets and a relaxed everyday fit.
Cropped Denim Jacket,$85,Jacket,Cropped denim jacket with classic metal buttons and a slightly boxy shape.
Cropped Denim Jacket - Blue,$85,Jacket,Cropped blue denim jacket with classic metal buttons and a slightly boxy shape.
Cropped Denim Jacket - Ecru,$85,Jacket,Cropped ecru denim jacket with classic metal buttons and a slightly boxy shape.
Quilted Lightweight Jacket,$108,Jacket,Lightly quilted jacket with snap buttons and a comfortable transitional-season fit.
Quilted Lightweight Jacket - Black,$108,Jacket,Lightly quilted black jacket with snap buttons and a comfortable transitional fit.
Quilted Lightweight Jacket - Cream,$108,Jacket,Lightly quilted cream jacket with snap buttons and a comfortable transitional fit.
Wool Blend Peacoat,$129,Coat,Classic double-breasted wool-blend coat with a structured collar and warm lining.
Wool Blend Peacoat - Camel,$129,Coat,Classic camel double-breasted wool-blend coat with a structured collar and warm lining.
Wool Blend Peacoat - Charcoal,$129,Coat,Classic charcoal double-breasted wool-blend coat with a structured collar and warm lining.
Longline Belted Coat,$139,Coat,"Longline coat with a tie belt, clean lapels, and a polished tailored finish."
Longline Belted Coat - Black,$139,Coat,"Longline black coat with a tie belt, clean lapels, and a polished tailored finish."
Longline Belted Coat - Mocha,$139,Coat,"Longline mocha coat with a tie belt, clean lapels, and a polished tailored finish."
A-Line Midi Skirt,$57,Skirt,Flowing A-line midi skirt with a comfortable elastic waistband and soft drape.
A-Line Midi Skirt - Black,$57,Skirt,Flowing black A-line midi skirt with a comfortable elastic waistband and soft drape.
A-Line Midi Skirt - Floral,$57,Skirt,Flowing floral A-line midi skirt with a comfortable elastic waistband and soft drape.
Pleated Tennis Skirt,$48,Skirt,High-waisted pleated skirt with a clean sporty-inspired silhouette.
Pleated Tennis Skirt - White,$48,Skirt,High-waisted white pleated skirt with a clean sporty-inspired silhouette.
Pleated Tennis Skirt - Navy,$48,Skirt,High-waisted navy pleated skirt with a clean sporty-inspired silhouette.
Corduroy Mini Skirt,$54,Skirt,Soft corduroy mini skirt with front pockets and a classic high-waisted fit.
Corduroy Mini Skirt - Rust,$54,Skirt,Soft rust corduroy mini skirt with front pockets and a classic high-waisted fit.
Corduroy Mini Skirt - Chocolate,$54,Skirt,Soft chocolate corduroy mini skirt with front pockets and a classic high-waisted fit.
Classic Trench Coat,$119,Coat,Water-resistant trench coat with a double-breasted front and adjustable belt.
Classic Trench Coat - Beige,$119,Coat,Water-resistant beige trench coat with a double-breasted front and adjustable belt.
Classic Trench Coat - Navy,$119,Coat,Water-resistant navy trench coat with a double-breasted front and adjustable belt.
Merino Mock Neck Sweater,$86,Sweater,"Fine merino wool sweater with a soft mock neck and slim, comfortable fit."
Merino Mock Neck Sweater - Ivory,$86,Sweater,"Fine ivory merino wool sweater with a soft mock neck and slim, comfortable fit."
Merino Mock Neck Sweater - Plum,$86,Sweater,"Fine plum merino wool sweater with a soft mock neck and slim, comfortable fit."
